seqnames	start	end	width	strand	gene_id	Gene
chr19	2819868	2836735	16868	+	115196	ZNF554
chr14	103519667	103522833	3167	-	1152	CKB
chrX	108091668	108154671	63004	+	115201	ATG4A
chr13	76880175	76886405	6231	-	115207	KCTD12
chr1	58415384	58546802	131419	-	115209	OMA1
chr4	100185870	100190782	4913	-	115265	DDIT4L
chr1	28592200	28595443	3244	+	115273	RAB42
chr8	51817575	51899186	81612	-	115294	PCMTD1
chr19	1259384	1274880	15497	+	1153	CIRBP
chr7	1044546	1059261	14716	+	115330	GPR146
chr1	157794403	157820120	25718	-	115350	FCRL1
chr1	157676481	157700769	24289	-	115352	FCRL3
chr1	53946085	53968168	22084	+	115353	LRRC42
chr1	89181144	89198942	17799	-	115361	GBP4
chr1	89258950	89272804	13855	-	115362	GBP5
chr3	50606490	50611831	5342	-	1154	CISH
chr7	23298739	23311729	12991	+	115416	MALSU1
chr9	6413151	6507054	93904	+	115426	UHRF2
chr19	36115439	36125947	10509	+	1155	TBCB
chr16	30602558	30624012	21455	-	115509	ZNF689
chr5	72956041	73090522	134482	+	115548	FCHO2
chr12	57610180	57619379	9200	+	115557	ARHGEF25
chr1	27005020	27012850	7831	-	115572	TENT5B
chr16	24845841	24911628	65788	+	115584	SLC5A11
chr22	41922023	41926818	4796	-	115650	TNFRSF13C
chr18	58481247	58629091	147845	-	115701	ALPK2
chr19	35774532	35788822	14291	+	115703	ARHGAP33
chr19	7830233	7864976	34744	+	115704	EVI5L
chr14	103529196	103537073	7878	+	115708	TRMT61A
chr19	38409051	38426305	17255	-	115727	RASGRP4
chr12	64264762	64390758	125997	-	115749	C12orf56
chr15	66293217	66333898	40682	+	115752	DIS3L
chr13	49628507	49633872	5366	+	115761	ARL11
chr3	10081317	10108255	26939	-	115795	FANCD2OS
chr19	45306413	45322875	16463	-	1158	CKM
chr12	113195441	113221094	25654	-	115811	IQCD
chr13	51584455	51767709	183255	+	115825	WDFY2
chr5	58582221	58859394	277174	+	115827	RAB3C
chr19	17436611	17460954	24344	-	115861	NXNL1
chr15	43593054	43599406	6353	+	1159	CKMT1B
chr8	103371538	103382989	11452	+	115908	CTHRC1
chr16	1349240	1351878	2639	-	115939	TSR3
chr19	11420604	11435782	15179	-	115948	CCDC151
chr19	11466240	11505839	39600	-	115950	ZNF653
chr16	88696499	88706408	9910	-	115992	RNF166
chr18	904871	912172	7302	+	116	ADCYAP1
chr5	81233320	81266398	33079	+	1160	CKMT2
chr16	11249649	11381662	132014	+	116028	RMI2
chr8	98944403	98952104	7702	+	116039	OSR2
chr3	120324509	120349354	24846	-	116064	LRRC58
chr5	90515611	90529584	13974	-	116068	LYSMD3
chr11	64987945	64997018	9074	-	116071	BATF2
chr11	64590641	64602353	11713	+	116085	SLC22A12
chr20	45791954	45811427	19474	+	116092	DNTTIP1
chr2	188733738	188790104	56367	-	116093	DIRC1
chr5	60873831	60945073	71243	-	1161	ERCC8
chr6	41546426	41602384	55959	+	116113	FOXP4
chr19	42220312	42228201	7890	+	116115	ZNF526
chr1	166603916	166631400	27485	+	116123	FMO9P
chr3	26622806	26717537	94732	+	116135	LRRC3B
chr6	43014103	43021298	7196	+	116138	KLHDC3
chr2	68122936	68261230	138295	-	116143	WDR92
chr6	117675469	117710727	35259	+	116150	NUS1
chr20	56358974	56368663	9690	+	116151	FAM210B
chr20	59577509	59847711	270203	+	116154	PHACTR3
chr21	26466209	26573286	107078	-	116159	CYYR1
chr14	23376773	23379772	3000	+	116173	CMTM5
chr15	43276271	43302255	25985	-	116179	TGM7
chr3	196323546	196338503	14958	-	116211	TM4SF19
chr9	68780039	68785566	5528	+	116224	FAM122A
chr9	137582081	137590512	8432	-	116225	ZMYND19
chr1	244835616	244845057	9442	+	116228	COX20
chr17	29560547	29567037	6491	-	116236	ABHD15
chr17	28724348	28727935	3588	-	116238	TLCD1
chr6	149566294	149591748	25455	+	116254	GINM1
chr2	222671658	222709930	38273	+	116255	MOGAT1
chr16	20623237	20698890	75654	-	116285	ACSM1
chr1	154974653	154979251	4599	+	1163	CKS1B
chr8	68330955	68819023	488069	+	116328	C8orf34
chr11	124611428	124620356	8929	+	116337	PANX3
chr5	441498	443160	1663	-	116349	EXOC3-AS1
chr1	9997206	10016021	18816	+	116362	RBP7
chr6	35943516	36024868	81353	-	116369	SLC26A8
chr2	132643286	132671579	28294	-	116372	LYPD1
chr6	137143820	137173648	29829	-	116379	IL22RA2
chr9	89311195	89316703	5509	+	1164	CKS2
chr19	58367618	58381030	13413	-	116412	ZNF837
chr12	131165011	131232940	67930	+	116437	LINC01257
chr3	149318498	149334414	15917	-	116441	TM4SF18
chrX	155258235	155264491	6257	-	116442	RAB39B
chr9	101569353	101738580	169228	-	116443	GRIN3A
chr19	1000419	1009732	9314	+	116444	GRIN3B
chr8	143304384	143359979	55596	-	116447	TOP1MT
chr21	33070141	33072413	2273	+	116448	OLIG1
chr4	10486395	10684768	198374	-	116449	CLNK
chr1	184051651	184122529	70879	+	116461	TSEN15
chr1	184790724	184974508	183785	-	116496	NIBAN1
chr11	68980021	68980986	966	-	116512	MRGPRD
chr11	116789367	116792420	3054	-	116519	APOA5
chr11	3225030	3232417	7388	-	116534	MRGPRE
chr11	69004395	69013382	8988	-	116535	MRGPRF
chr2	74471982	74472687	706	-	116540	MRPL53
chr19	3762682	3768575	5894	+	116541	MRPL54
chr17	81833492	81835050	1559	-	116729	PPP1R27
chr13	32504506	32509395	4890	-	116828	N4BP2L2-IT2
chr3	187120948	187180908	59961	-	116832	RPL39L
chr20	3732685	3753111	20427	+	116835	HSPA12B
chr17	7932101	7949920	17820	+	116840	CNTROB
chr1	227728539	227781231	52693	+	116841	SNAP47
chr5	132873444	132875046	1603	+	116842	LEAP2
chr6	132769370	132813339	43970	-	116843	SLC18B1
chr19	4536402	4540036	3635	-	116844	LRG1
chr3	151085697	151437072	351376	+	116931	MED12L
chr3	150852484	151080726	228243	+	116933	CLRN1-AS1
chr22	39315213	39315307	95	-	116937	SNORD83A
chr22	39313819	39313911	93	-	116938	SNORD83B
chr4	176065834	176182818	116985	+	116966	WDR17
chr11	3638512	3642316	3805	-	116969	ART5
chr1	1292390	1309609	17220	-	116983	ACAP3
chr4	35948221	36244514	296294	-	116984	ARAP2
chr11	72685069	72793599	108531	-	116985	ARAP1
chr12	57723761	57742157	18397	-	116986	AGAP2
chr2	235494043	236131800	637758	+	116987	AGAP1
chr7	151085831	151144436	58606	+	116988	AGAP3
chr7	31052461	31111479	59019	+	117	ADCYAP1R1
chr1	166856510	166876264	19755	-	117143	TADA1
chr11	66016752	66026479	9728	-	117144	CATSPER1
chr1	151870866	151909637	38772	-	117145	THEM4
chrX	86148451	86832604	684154	+	117154	DACH2
chr15	43628503	43648877	20375	-	117155	CATSPER2
chr5	147870682	147882191	11510	+	117156	SCGB3A2
chr1	162395268	162412138	16871	-	117157	SH2D1B
chr12	54644589	54648493	3905	-	117159	DCD
chr16	630985	634117	3133	+	117166	WFIKKN1
chr12	69738681	69823204	84524	+	117177	RAB3IP
chr1	84643707	84690803	47097	-	117178	SSX2IP
chr11	19054455	19060717	6263	-	117194	MRGPRX2
chr11	18120955	18138480	17526	+	117195	MRGPRX3
chr11	18172837	18174280	1444	+	117196	MRGPRX4
chr11	63461404	63491194	29791	-	117245	PLAAT5
chr17	63819433	63827663	8231	-	117246	FTSJ3
chr6	111087503	111231194	143692	+	117247	SLC16A10
chr3	16174680	16231992	57313	+	117248	GALNT15
chr6	33721662	33746905	25244	-	117283	IP6K3
chr20	31368601	31373923	5323	+	117285	DEFB118
chr19	16161368	16173525	12158	-	117286	CIB3
chr6	159034468	159095823	61356	-	117289	TAGAP
chr3	184174689	184184091	9403	+	1173	AP2M1
chr7	101154456	101161596	7141	+	1174	AP1S1
chr19	46838136	46850992	12857	-	1175	AP2S1
chr9	72521608	72838291	316684	+	117531	TMC1
chr20	2536607	2641784	105178	+	117532	TMC2
chr19	14028148	14031551	3404	+	117579	RLN3
chr2	238848032	238910534	62503	+	117581	TWIST2
chr2	204545475	205620162	1074688	+	117583	PARD3B
chr17	35005990	35089319	83330	-	117584	RFFL
chr5	115841592	115914081	72490	+	1176	AP3S1
chr5	178859953	178885020	25068	+	117608	ZNF354B
chr19	39731255	39738029	6775	-	1178	CLC
chr11	5596109	5612958	16850	+	117854	TRIM6
chr1	86468368	86500289	31922	+	1179	CLCA1
chr4	2843857	2930076	86220	+	118	ADD1
chr7	143316111	143352083	35973	+	1180	CLCN1
chr3	184346185	184361650	15466	-	1181	CLCN2
chr4	169612633	169723673	111041	+	1182	CLCN3
chrX	10156945	10237660	80716	+	1183	CLCN4
chrX	49922596	50099235	176640	+	1184	CLCN5
chr21	28539318	28540355	1038	+	118421	LINC00161
chr1	1253909	1273885	19977	-	118424	UBE2J2
chr4	79827471	79877770	50300	+	118425	PCAT4
chr1	101802574	101997030	194457	-	118427	OLFM3
chr4	79901146	80125454	224309	-	118429	ANTXR2
chr12	54830518	54896008	65491	+	118430	MUCL1
chr17	7754320	7754976	657	+	118432	RPL29P2
chr2	113610502	113627090	16589	-	118433	RPL23AP7
chr3	51955381	51957499	2119	+	118442	GPR62
chr16	70246778	70251940	5163	-	118460	EXOSC6
chr10	49299170	49327492	28323	+	118461	C10orf71
chr10	133309410	133352683	43274	+	118471	PRAP1
chr10	133308914	133313162	4249	+	118472	ZNF511
chr10	73782047	73783652	1606	+	118487	CHCHD1
chr10	73423579	73433561	9983	-	118490	MSS51
chr10	73253759	73358859	105101	-	118491	CFAP70
chr1	11806096	11848079	41984	+	1185	CLCN6
chr16	1444934	1475084	30151	-	1186	CLCN7
chr10	126424997	126798708	373712	-	118611	C10orf90
chr10	122271296	122338170	66875	+	118663	BTBD16
chr10	122910610	122913111	2502	+	118670	FAM24A
chr10	122954381	122997513	43133	+	118672	PSTK
chr1	16018875	16034050	15176	+	1187	CLCNKA
chr10	47365496	47384293	18798	-	118738	ZNF488
chr10	96593315	96720514	127200	-	118788	PIK3AP1
chr1	16043736	16057308	13573	+	1188	CLCNKB
chr10	97614553	97633500	18948	-	118812	MORN4
chr10	97737121	97760907	23787	+	118813	ZFYVE27
chr10	125753580	125775821	22242	-	118856	MMP21
chr10	75233641	75236030	2390	-	118881	COMTD1
chr10	93667883	93702592	34710	-	118924	FRA10AC1
chr10	88819896	88851844	31949	-	118932	ANKRD22
chr10	102714538	102743492	28955	+	118980	SFXN2
chr10	117277274	117375440	98167	-	118987	PDZD8
chr2	70607618	70768225	160608	-	119	ADD2
chr10	45825594	45853875	28282	-	119016	AGAP4
chr10	102854259	102864961	10703	+	119032	BORCS7
chr8	27596917	27614700	17784	-	1191	CLU
chr10	30611779	30629762	17984	-	119180	LYZL2
chrX	155276211	155334657	58447	-	1193	CLIC2
chr10	91152605	91153349	745	-	119369	NUDT9P1
chr10	86970741	87024732	53992	+	119385	AGAP11
chr10	104268873	104304950	36078	+	119391	GSTO2
chr10	104122058	104126385	4328	+	119392	SFR1
chr10	103472804	103479240	6437	-	119395	CALHM3
chr10	130106046	130108481	2436	+	119437	CTAGE7P
chr10	127877841	127892941	15101	-	119467	CLRN3
chr2	200853009	200864744	11736	-	1195	CLK1
chr10	72216000	72235860	19861	+	119504	ANAPC16
chr10	116427847	116477957	50111	+	119548	PNLIPRP3
chr10	119140767	119165714	24948	-	119559	SFXN4
chr10	123706207	123940267	234061	-	119587	CPXM2
chr11	5058650	5059627	978	-	119678	OR52E2
chr11	5046526	5047461	936	+	119679	OR52J3
chr11	4998983	4999930	948	+	119682	OR51L1
chr11	4907333	4908380	1048	+	119687	OR51A7
chr11	4847489	4849238	1750	-	119692	OR51S1
chr11	4821321	4822456	1136	+	119694	OR51F2
chr11	4803433	4804380	948	-	119695	OR52R1
chr7	23585062	23586355	1294	-	1197	CLK2P1
chr11	36594493	36659290	64798	+	119710	IFTAP
chr11	54603069	54603998	930	-	119749	OR4C46
chr11	48245056	48246080	1025	+	119764	OR4X2
chr11	48216810	48217739	930	+	119765	OR4B1
chr11	4545191	4546144	954	+	119772	OR52M1
chr11	4449295	4450361	1067	+	119774	OR52K2
chr15	74608372	74645414	37043	+	1198	CLK3
chr14	94592058	94624646	32589	+	12	SERPINA3
chr10	109996368	110135565	139198	+	120	ADD3
chr11	6610883	6619448	8566	-	1200	TPP1
chr11	45921621	45929096	7476	+	120071	LARGE2
chr16	28456371	28495567	39197	-	1201	CLN3
chr11	93144174	93197991	53818	-	120103	SLC36A4
chr11	92352096	92896470	544375	+	120114	FAT3
chr11	89968502	89974072	5571	+	120146	TRIM64
chr11	129815848	129860003	44156	+	120224	TMEM45B
chr11	14877440	14892252	14813	-	120227	CYP2R1
chr11	20156155	20160475	4321	-	120237	DBX1
chr13	76990660	77129589	138930	+	1203	CLN5
chr11	111298555	111308735	10181	+	120376	COLCA2
chr11	112064010	112074274	10265	-	120379	PIH1D2
chr11	114521645	114559895	38251	-	120400	NXPE1
chr11	114678527	114707069	28543	+	120406	NXPE2
chr11	118193725	118225094	31370	-	120425	JAML
chr11	31369840	31432835	62996	+	120526	DNAJC24
chr11	30323104	30338223	15120	+	120534	ARL14EP
chr11	56093277	56094286	1010	+	120586	OR8I2
chr11	77514936	77637794	122859	-	1207	CLNS1A
chr11	6920974	6922043	1070	+	120775	OR2D3
chr11	6891490	6892599	1110	-	120776	OR2D2
chr11	6199146	6200259	1114	+	120787	OR52W1
chr11	6001986	6003194	1209	-	120793	OR56A4
chr11	6026671	6027741	1071	-	120796	OR56A1
chr6	35794982	35797344	2363	-	1208	CLPS
chr12	100203669	100267079	63411	-	120863	DEPDC4
chr12	40196744	40369285	172542	+	120892	LRRK2
chr19	44954585	44993341	38757	+	1209	CLPTM1
chr12	95867048	95942635	75588	-	120935	CCDC38
chr12	10170542	10191801	21260	+	120939	TMEM52B
chr12	50326230	50396622	70393	-	121006	FAM186A
chr12	104986316	105074197	87882	+	121053	C12orf45
chr9	36190856	36304781	113926	+	1211	CLTA
chr12	55574415	55575344	930	+	121129	OR2AP1
chr12	55636860	55637854	995	+	121130	OR10P1
chr5	176392455	176416569	24115	-	1212	CLTB
chr12	56923133	56934408	11276	-	121214	SDR9C7
chr12	58872149	58920522	48374	-	121227	LRIG3
chr12	129071725	129904025	832301	-	121256	TMEM132D
chr12	128793194	128823958	30765	-	121260	SLC15A4
chr12	49064676	49070025	5350	-	121268	RHEBL1
chr12	48482498	48496386	13889	+	121273	C12orf54
chr12	48337180	48351414	14235	-	121274	ZNF641
chr12	48202083	48203387	1305	-	121275	OR10AD1
chr12	71938845	72186618	247774	+	121278	TPH2
chr17	59619689	59696956	77268	+	1213	CLTC
chr12	53326575	53345315	18741	-	121340	SP7
chr12	54455950	54473602	17653	-	121355	GTSF1
chr12	55221025	55221975	951	+	121364	OR10A7
chr12	52565782	52573843	8062	-	121391	KRT74
chr12	96907223	96953777	46555	+	121441	NEDD1
chr12	98453835	98457145	3311	-	121456	SLC9A7P1
chr12	98613405	98645113	31709	-	121457	IKBIP
chr14	24505353	24508265	2913	-	1215	CMA1
chr12	14770555	14771131	577	-	121504	H4-16
chr12	14914039	14938537	24499	-	121506	ERP27
chr12	32399529	32646050	246522	+	121512	FGD4
chr12	19404045	19720801	316757	+	121536	AEBP2
chr12	107774385	107776644	2260	+	121549	ASCL4
chr12	107318421	107659642	341222	+	121551	BTBD11
chr12	101475336	101486997	11662	+	121599	SPIC
chr12	109088188	109093631	5444	-	121642	ALKBH2
chr12	109277978	109309284	31307	-	121643	FOXN4
chr12	120762510	120904358	141849	-	121665	SPPL3
chr13	111316184	111344249	28066	+	121793	TEX29
chr13	43908714	44030461	121748	+	121838	NRAD1
chr13	102880099	102896033	15935	+	121952	METTL21EP
chr13	37103259	37105664	2406	-	122011	CSNK1A1L
chr13	31739526	31803389	63864	+	122042	RXFP2
chr13	30932656	30975500	42845	+	122046	TEX26
chr13	77697687	77764242	66556	+	122060	SLAIN1
chr14	103928456	104052667	124212	+	122402	TDRD9
chr14	102501767	102509799	8033	-	122416	ANKRD9
chr14	96392128	96489427	97300	+	122481	AK7
chr14	44897275	44907257	9983	+	122525	C14orf28
chr14	39147811	39170532	22722	-	122553	TRAPPC6B
chr14	104985775	105010482	24708	+	122616	CLBA1
chr14	104924713	104937790	13078	+	122618	PLD4
chr14	104724186	104747325	23140	+	122622	ADSS1
chr14	20582892	20609884	26993	-	122651	RNASE11
chr14	21024109	21036276	12168	+	122664	TPPP2
chr14	21057822	21058455	634	+	122665	RNASE8
chr14	22829879	22835037	5159	+	122704	MRPL52
chr14	23042212	23044060	1849	+	122706	PSMB11
chr14	20014261	20015193	933	-	122740	OR4K14
chr14	20060045	20060983	939	+	122742	OR4L1
chr14	20223710	20224702	993	+	122748	OR11H6
chr14	49598761	49614672	15912	+	122769	LRR1
chr14	49693105	49753150	60046	+	122773	KLHDC1
chr14	51489100	51730727	241628	+	122786	FRMD6
chr14	55027230	55049489	22260	+	122809	SOCS4
chr14	57390544	57415906	25363	+	122830	NAA30
chr14	63312835	63318935	6101	-	122876	GPHB5
chr14	77394021	77423517	29497	-	122945	NOXRED1
chr14	75427716	75474111	46396	+	122953	JDP2
chr14	74493756	74497106	3351	+	122961	ISCA2
chr14	73591706	73596496	4791	+	122970	ACOT4
chr9	19108375	19149278	40904	-	123	PLIN2
chr3	46201711	46208313	6603	-	1230	CCR1
chr14	88824153	88881078	56926	+	123016	TTC8
chr14	92322581	92501483	178903	+	123041	SLC24A4
chr14	100291116	100306547	15432	-	123096	SLC25A29
chr14	100143957	100159645	15689	-	123099	DEGS2
chr14	20425852	20436166	10315	-	123103	KLHL33
chr15	51938025	51971778	33754	-	123169	LEO1
chr3	46163604	46266706	103103	+	1232	CCR3
chr15	82988441	83011641	23201	-	123207	C15orf40
chr15	72114258	72143692	29435	+	123228	SENP8
chr15	65001512	65029639	28128	-	123263	MTFMT
chr15	65045387	65053397	8011	+	123264	SLC51B
chr15	101653596	101724473	70878	-	123283	TARS3
chr3	32951644	32956349	4706	+	1233	CCR4
chr15	72675788	72686182	10395	-	123346	HIGD2B
chr15	99251362	99390729	139368	+	123355	LRRC28
chr3	46370854	46376206	5353	+	1234	CCR5
chr6	166999405	167139696	140292	+	1235	CCR6
chr15	76059958	76229121	169164	+	123591	TMEM266
chr17	40553769	40565472	11704	-	1236	CCR7
chr15	22773063	22829789	56727	+	123606	NIPA1
chr15	86079973	87029052	949080	+	123624	AGBL1
chr15	78507564	78537372	29809	+	123688	HYKK
chr3	39329709	39333680	3972	+	1237	CCR8
chr15	82809628	82836108	26481	+	123720	WHAMM
chr15	82755362	82806070	50709	-	123722	FSD2
chr15	41981582	42051190	69609	-	123745	PLA2G4E
chr16	81053497	81096284	42788	-	123775	C16orf46
chr3	42804752	42908105	103354	+	1238	ACKR2
chr16	84145287	84178767	33481	+	123872	DNAAF1
chr16	20451461	20487669	36209	+	123876	ACSM2A
chr16	20854925	20900358	45434	-	123879	DCUN1D3
chr16	67884885	67888855	3971	+	123904	NRN1L
chr16	66603874	66613892	10019	+	123920	CMTM3
chr16	49373804	49399431	25628	+	123970	C16orf78
chr4	99276369	99291003	14635	-	124	ADH1A
chr12	108288044	108339317	51274	-	1240	CMKLR1
chr16	89696357	89701705	5349	-	124044	SPATA2L
chr16	89657802	89671272	13471	+	124045	SPATA33
chr16	1978917	1984192	5276	-	124056	NOXO1
chr16	722582	726954	4373	-	124093	CCDC78
chr16	46469341	46569097	99757	-	124149	ANKRD26P1
chr16	19716456	19858467	142012	+	124152	IQCK
chr16	2969270	2973484	4215	+	124222	PAQR4
chr16	88570381	88631966	61586	+	124245	ZC3H18
chr16	20031485	20073917	42433	-	124274	GPR139
chr16	80597907	80804598	206692	-	124359	CDYL2
chr10	99782640	99852594	69955	+	1244	ABCC2
chr16	4696510	4734378	37869	-	124401	ANKS3
chr16	4608883	4615027	6145	-	124402	UBALD1
chr16	4777669	4788521	10853	-	124404	SEPTIN12
chr16	31713229	31794869	81641	+	124411	ZNF720
chr16	29940885	29973050	32166	+	124446	TMEM219
chr16	23522014	23557731	35718	-	124454	EARS2
chr16	50666300	50681353	15054	-	124460	SNX20
chr16	75412684	75465497	52814	-	124491	TMEM170A
chr17	76726830	76738522	11693	+	124512	METTL23
chr17	58420167	58488408	68242	-	124535	HSF5
chr17	58169401	58171411	2011	+	124538	OR4D2
chr17	57255851	57684689	428839	+	124540	MSI2
chr17	81244811	81295547	50737	-	124565	SLC38A10
chr17	78991716	79009867	18152	-	124583	CANT1
chr17	74916083	74923256	7174	-	124590	USH1G
chr17	74521174	74531475	10302	-	124599	CD300LB
chr17	74326210	74355820	29611	+	124602	KIF19
chr17	39868164	39877896	9733	+	124626	ZPBP2
chr17	7857746	7862282	4537	+	124637	CYB5D1
chr17	2041553	2043425	1873	+	124641	OVCA2
chr17	9644698	9729687	84990	+	124739	USP43
chr17	8356902	8383187	26286	-	124751	KRBA2
chr17	60392429	60431426	38998	+	124773	C17orf64
chr17	45254393	45262094	7702	-	124783	SPATA32
chr17	45160700	45170040	9341	+	124790	HEXIM2
chr17	44034635	44067619	32985	-	124801	LSM12
chr17	44673069	44689779	16711	-	124808	CCDC43
chr17	42798800	42811587	12788	+	124817	CNTD1
chr17	34579487	34639318	59832	+	124842	TMEM132E
chr17	50834650	50842353	7704	+	124857	WFIKKN2
chr17	49230853	49318011	87159	+	124871	FLJ40194
chr17	49132460	49176840	44381	+	124872	B4GALNT2
chr17	32970376	32997877	27502	+	124912	SPACA3
chr17	28455752	28614200	158449	-	124923	RSKR
chr17	28954901	29006440	51540	-	124925	SEZ6
chr17	29589769	29614761	24993	+	124930	ANKRD13B
chr17	4143168	4187310	44143	+	124936	CYB5D2
chr17	7014782	7017520	2739	+	124944	C17orf49
chr17	5078467	5096374	17908	+	124961	ZFP3
chr17	4556927	4560818	3892	-	124975	GGT6
chr17	4498881	4539035	40155	+	124976	SPNS2
chr17	47323290	47441312	118023	+	124989	EFCAB13
chr17	47823272	47831541	8270	-	124995	MRPL10
chr4	99304971	99352760	47790	-	125	ADH1B
chr6	52995620	52995950	331	+	125050	RN7SK
chr17	79932343	80035872	103530	-	125058	TBC1D16
chr17	78187317	78207701	20385	+	125061	AFMID
chr17	40360652	40364737	4086	-	125111	GJD3
chr17	40628797	40665181	36385	-	125113	KRT222
chr17	16438767	16478678	39912	+	125144	SNHG29
chr17	15976560	15999717	23158	-	125150	ZSWIM7
chr17	18950345	19022595	72251	+	125206	SLC5A10
chr18	13663347	13726663	63317	-	125228	FAM210A
chr18	46476972	46657220	180249	-	125336	LOXHD1
chr18	35443871	35497991	54121	-	125476	INO80C
chr18	23992773	24135610	142838	+	125488	TTC39C
chr18	74434099	74457944	23846	-	125704	DIPK1C
chr16	57882340	57971128	88789	-	1258	CNGB1
chr19	51367098	51369003	1906	-	125875	CLDND2
chr19	52949379	52962911	13533	-	125893	ZNF816
chr4	47935977	48016672	80696	-	1259	CNGA1
chr19	57320472	57330770	10299	+	125919	ZNF543
chr19	44501677	44529788	28112	-	125931	CEACAM20
chr19	10315471	10333638	18168	-	125950	RAVER1
chr19	9213850	9214871	1022	-	125958	OR7D4
chr19	9114828	9115763	936	-	125962	OR7G1
chr19	9093179	9094213	1035	+	125963	OR1M1
chr19	55349306	55354719	5414	-	125965	COX6B2
chr19	16479057	16496192	17136	-	125972	CALR3
chr19	6306142	6333612	27471	-	125981	ACER1
chr19	5678421	5680896	2476	-	125988	MICOS13
chr19	7049321	7051735	2415	+	125997	MBD3L2
chr4	99336497	99352746	16250	-	126	ADH1C
chrX	151738451	151745304	6854	+	1260	CNGA2
chr19	7678501	7687703	9203	+	126003	TRAPPC5
chr19	7631611	7633719	2109	-	126006	PCP2
chr19	53467733	53496255	28523	+	126017	ZNF813
chr19	11767000	11784078	17079	+	126068	ZNF441
chr19	11797667	11809622	11956	+	126069	ZNF491
chr19	11814273	11835216	20944	+	126070	ZNF440
chr19	11374666	11376951	2286	+	126074	SWSAP1
chr19	11345301	11354944	9644	+	126075	CCDC159
chr2	98346155	98398601	52447	+	1261	CNGA3
chr19	50505998	50511353	5356	-	126119	JOSD2
chr19	50152548	50163195	10648	-	126123	IZUMO2
chr19	49690898	49713731	22834	+	126129	CPT1C
chr19	49453225	49471050	17826	+	126133	ALDH16A1
chr19	48661407	48673081	11675	-	126147	NTN5
chr11	6234765	6244479	9715	+	1262	CNGA4
chr19	55891699	55932336	40638	-	126204	NLRP13
chr19	55947832	55988629	40798	+	126205	NLRP8
chr19	55999726	56061810	62085	+	126206	NLRP5
chr19	56087366	56121295	33930	-	126208	ZNF787
chr19	37738287	37817300	79014	-	126231	ZNF573
chr19	33132090	33175799	43710	+	126248	WDR88
chr19	4292232	4302431	10200	-	126259	TMIGD2
chr19	39530987	39532852	1866	-	126272	EID2B
chr19	4639516	4655568	16053	+	126282	TNFAIP8L1
chr19	2900898	2918473	17576	+	126295	ZNF57
chr19	43584369	43596135	11767	-	126298	IRGQ
chr19	43607224	43619629	12406	-	126299	ZNF428
chr1	44800377	44805990	5614	+	1263	PLK3
chr19	2252252	2269759	17508	-	126306	JSRP1
chr19	2071036	2096673	25638	-	126308	MOB3A
chr19	3538261	3573851	35591	-	126321	MFSD12
chr19	3585478	3593541	8064	+	126326	GIPC3
chr19	5867615	5904006	36392	-	126328	NDUFA11
chr19	751112	764318	13207	+	126353	MISP
chr19	18391137	18397622	6486	-	126364	LRRC25
chr19	15086980	15088221	1242	+	126370	OR1I1
chr19	34481758	34512304	30547	+	126374	WTIP
chr19	34956354	34964229	7876	-	126375	ZNF792
chr19	19201416	19203424	2009	-	126382	NR2C2AP
chr19	35754566	35758079	3514	-	126393	HSPB6
chr19	11538767	11550323	11557	+	1264	CNN1
chr19	15010726	15023276	12551	+	126402	CCDC105
chr19	15508525	15552317	43793	+	126410	CYP4F22
chr19	38990714	39032785	42072	-	126433	FBXO27
chr19	1026586	1039068	12483	+	1265	CNN2
chr19	1524077	1536046	11970	+	126520	PLK5
chr19	40319536	40348527	28992	-	126526	C19orf47
chr19	16015287	16027462	12176	+	126536	LINC00661
chr19	15949008	15949958	951	+	126541	OR10H4
chr19	17281645	17287646	6002	+	126549	ANKLE1
chr19	405445	409147	3703	-	126567	C2CD4C
chr1	94896949	94927223	30275	-	1266	CNN3
chr1	151070578	151125542	54965	+	126626	GABPB2
chr1	152084141	152089064	4924	-	126637	TCHHL1
chr1	152153595	152159228	5634	-	126638	RPTN
chr1	45493866	45500079	6214	-	126661	CCDC163
chr1	154502219	154548147	45929	+	126668	TDRD10
chr1	154469772	154502412	32641	-	126669	SHE
chr1	26949562	26960468	10907	-	126695	KDF1
chr17	41966763	41977740	10978	+	1267	CNP
chr1	229321011	229343294	22284	-	126731	CCSAP
chr1	13474973	13514003	39031	-	126755	LRRC38
chr1	12716110	12728760	12651	+	126767	AADACL3
chr1	1308597	1311677	3081	+	126789	PUSL1
chr1	1232237	1235041	2805	+	126792	B3GALT6
chr6	88139864	88166359	26496	-	1268	CNR1
chr1	84999147	85133138	133992	+	126820	DNAI3
chr1	161098361	161100346	1986	+	126823	KLHDC9
chr1	179365720	179554735	189016	+	126859	AXDND1
chr1	116111755	116135240	23486	+	126868	MAB21L3
chr1	23870515	23913362	42848	-	1269	CNR2
chr1	18904280	18956676	52397	-	126917	IFFO2
chr1	94820342	94895246	74905	+	126969	SLC44A3
chr4	99123657	99157792	34136	-	127	ADH4
chr11	58622665	58625733	3069	+	1270	CNTF
chr1	109483479	109492804	9326	+	127002	ATXN7L2
chr1	109105951	109113857	7907	-	127003	C1orf194
chr1	219173869	219212865	38997	+	127018	LYPLAL1
chr1	248145148	248146086	939	+	127059	OR2M5
chr1	248203030	248204090	1061	+	127062	OR2M3
chr1	248294535	248295600	1066	-	127064	OR2T12
